Date,Open,High,Low,Close,Adj Close,Volume
01-07-2019,1922.97998,1929.819946,1914.660034,1922.189941,1922.189941,3203300
02-07-2019,1919.380005,1934.790039,1906.630005,1934.310059,1934.310059,2645900
03-07-2019,1935.890015,1941.589966,1930.5,1939,1939,1690300
05-07-2019,1928.599976,1945.900024,1925.300049,1942.910034,1942.910034,2628400
08-07-2019,1934.119995,1956,1928.25,1952.319946,1952.319946,2883400
09-07-2019,1947.800049,1990.01001,1943.47998,1988.300049,1988.300049,4345700
10-07-2019,1996.51001,2024.939941,1995.400024,2017.410034,2017.410034,4931900
11-07-2019,2025.619995,2035.800049,1995.300049,2001.069946,2001.069946,4317800
12-07-2019,2008.27002,2017,2003.869995,2011,2011,2509300
15-07-2019,2021.400024,2022.900024,2001.550049,2020.98999,2020.98999,2981300
16-07-2019,2010.579956,2026.319946,2001.219971,2009.900024,2009.900024,2618200
17-07-2019,2007.050049,2012,1992.030029,1992.030029,1992.030029,2558800
18-07-2019,1980.01001,1987.5,1951.550049,1977.900024,1977.900024,3504300
19-07-2019,1991.209961,1996,1962.22998,1964.52002,1964.52002,3185600
22-07-2019,1971.140015,1989,1958.26001,1985.630005,1985.630005,2900000
23-07-2019,1995.98999,1997.790039,1973.130005,1994.48999,1994.48999,2703500
24-07-2019,1969.300049,2001.300049,1965.869995,2000.810059,2000.810059,2631300
25-07-2019,2001,2001.199951,1972.719971,1973.819946,1973.819946,4136500
26-07-2019,1942,1950.900024,1924.51001,1943.050049,1943.050049,4927100
29-07-2019,1930,1932.22998,1890.540039,1912.449951,1912.449951,4493200
30-07-2019,1891.119995,1909.890015,1883.47998,1898.530029,1898.530029,2910900
31-07-2019,1898.109985,1899.550049,1849.439941,1866.780029,1866.780029,4470700
01-08-2019,1871.719971,1897.920044,1844.01001,1855.319946,1855.319946,4713300
02-08-2019,1845.069946,1846.359985,1808.02002,1823.23999,1823.23999,4956200
05-08-2019,1770.219971,1788.670044,1748.780029,1765.130005,1765.130005,6058200
06-08-2019,1792.22998,1793.77002,1753.400024,1787.829956,1787.829956,5070300
07-08-2019,1773.98999,1798.930054,1757,1793.400024,1793.400024,4526900
08-08-2019,1806,1834.26001,1798.109985,1832.890015,1832.890015,3701200
09-08-2019,1828.949951,1831.089966,1802.219971,1807.579956,1807.579956,2879800
12-08-2019,1795.98999,1800.97998,1777,1784.920044,1784.920044,2905500
